Category,Crop,Disease,Question,Answer,Keywords
Crop Rotation,chilli,leaf curl virus,How do I store chilli grains safely to avoid pests and mold?,"Rotate chilli with non-host crops (e.g., legumes) to break disease and pest cycles. Include green manures to improve soil health. Plan 2–3 year rotations based on soil and water availability. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,chilli,crop_rotation,farming,india,leaf curl virus"
Water Conservation,brinjal,bacterial wilt,"What soil type and pH are ideal for brinjal, and how do I improve my soil?","In brinjal, avoid over-irrigation which leaches nutrients and promotes diseases. Use tensiometers or soil moisture sensors for precise scheduling. Maintain drainage to prevent waterlogging. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,bacterial wilt,brinjal,farming,india,water_conservation"
Micronutrients,cabbage,downy mildew,When and how should I harvest cabbage to get maximum yield and quality?,Fe deficiency in cabbage shows as interveinal chlorosis in young leaves. Apply Fe-EDDHA foliar (0.5%) or chelated Fe with irrigation. Improve drainage and avoid high pH soils. Keep records of inputs and yields each season to refine your plan.,"agriculture,cabbage,downy mildew,farming,india,micronutrients,red"
NPK Management,cauliflower,alternaria leaf spot,How should I plan crop rotation with cauliflower to improve soil health?,"For cauliflower, integrated nutrient management combines FYM, biofertilizers, and mineral fertilizers. Target OC >0.8%, balanced NPK, and micronutrients based on soil tests. Avoid blanket recommendations. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,cauliflower,farming,india,npk_management,sandy"
IPM,okra,root-knot nematode,"What soil type and pH are ideal for okra, and how do I improve my soil?","In okra, cultural practices (timely sowing, intercropping, crop rotation) reduce pest pressure. Preserve natural enemies by avoiding broad-spectrum sprays. Use spot treatments for outbreaks. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,india,ipm,okra,root-knot nematode"
Weed Management,groundnut,stem rot,What is a good NPK plan for groundnut to avoid lodging and disease?,"For groundnut, timely weeding (first 30 days) is critical. Use mechanical weeding or recommended herbicides. Avoid late weeding that damages roots. Maintain crop geometry for canopy closure. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,groundnut,india,red,stem rot,weed_management"
Protected Cultivation,mustard,downy mildew,How do I move towards regenerative agriculture in mustard?,"In mustard, protected cultivation reduces pesticide use. Combine with biological controls and hygiene. Plan crop cycles to match market demand. Keep records of inputs and yields each season to refine your plan.","agriculture,black,downy mildew,farming,india,mustard,protected_cultivation"
Greenhouse,sunflower,rust,How do I manage rust in sunflower? What are the symptoms and spray schedule?,"Protected cultivation (shade nets, low tunnels) in sunflower reduces pest and weather damage. Use drip fertigation and mulch. Monitor temperature and humidity to prevent diseases. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,greenhouse,india,rust,sunflower"
Hydroponics,bajra,leaf spot,How do I move towards regenerative agriculture in bajra?,"For bajra, greenhouses enable year-round production. Use insect-proof nets, drip irrigation, and balanced fertigation. Train labor on climate management and IPM. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,bajra,farming,hydroponics,india,leaf spot"
Carbon Farming,jowar,leaf blight,What is the best fertilizer dose and schedule for jowar in black soil?,"In jowar, precision fertilizer use reduces N2O emissions. Use urease inhibitors and split N applications. Combine with renewable energy for irrigation. Keep records of inputs and yields each season to refine your plan.","agriculture,black,carbon_farming,farming,india,jowar,leaf blight"
Regenerative Agriculture,ragi,smut,How do I select and treat seeds for ragi to improve germination?,"For ragi, regenerative systems need patient investment. Start with pilot plots, measure soil carbon and yields, and scale gradually. Engage with FPOs for collective action. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,laterite,ragi,regenerative_agriculture,smut"
GAP,gram,ascochyta blight,How do I manage ascochyta blight in gram? What are the symptoms and spray schedule?,"In gram, GAP improves product quality and reduces residues. Implement standard operating procedures for spraying, harvesting, and packing. Seek certification where markets demand it. Keep records of inputs and yields each season to refine your plan.","agriculture,ascochyta blight,farming,gap,gram,india,red"
Insurance,pigeon pea,alternaria blight,Which irrigation method saves the most water for pigeon pea without reducing yield?,"For pigeon pea, explore state-specific insurance top-ups and micro-insurance. Maintain communication with insurance agents. File claims promptly with required documents. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria blight,black,farming,india,insurance,pigeon pea"
Fertilizer,green gram,alternaria leaf spot,How should I plan crop rotation with green gram to improve soil health?,"For green gram, start with a soil test. In most alluvial/loamy soils, apply 80–120 kg N/ha, 40–60 kg P2O5/ha, and 40–60 kg K2O/ha in splits. At sowing, place full P and K plus 1/3 N near the seed. Top-dress remaining N at tillering/vegetative stage and again at flowering. Add 5–10 t/ha FYM or compost before sowing. Use ZnSO4 (20–25 kg/ha) if deficient. Avoid excessive urea to prevent lodging and disease.","agriculture,alternaria leaf spot,black,farming,fertilizer,green gram,india"
Disease,black gram,yellow mosaic virus,How should I plan crop rotation with black gram to improve soil health?,"For yellow mosaic virus in black gram, early detection is key. Symptoms include yellow-green mosaic mottling on leaves. Spray recommended fungicides (e.g., propiconazole, tebuconazole) at label doses. Practice field sanitation, avoid water stagnation, and maintain plant spacing for airflow. Keep records of inputs and yields each season to refine your plan.","agriculture,black gram,disease,farming,india,red,yellow mosaic virus"
Pest,banana,panama wilt,"What soil type and pH are ideal for banana, and how do I improve my soil?","For banana, integrate mechanical (handpicking), biological (Trichogramma), and chemical controls. Avoid tank mixes that harm beneficials. Follow label doses and pre-harvest intervals. Keep records of inputs and yields each season to refine your plan.","agriculture,banana,farming,india,panama wilt,pest,red"
Irrigation,mango,spongy tissue,What water conservation practices work best for mango in my area?,"In mango, avoid water stress during pod/fruit development. Use deficit irrigation (70–80% ET) in vegetative stage, then full irrigation at flowering and fruit set. Drain fields within 24 hours after heavy rain to prevent root rot. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,irrigation,loamy,mango,spongy tissue"
Weather,papaya,powdery mildew,Which machines or implements are useful for papaya to save labor and time?,"For papaya, high humidity favors fungal diseases. Increase plant spacing, avoid overhead irrigation, and use protective fungicides before monsoon peaks. Use weather-based advisories for spray timing. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,india,papaya,powdery mildew,weather"
Soil,grapes,black rot,How do I practice organic farming in grapes without losing yield?,"In grapes, heavy clay soils need raised beds and proper drainage. Sandy soils benefit from mulching and frequent light irrigations. Loamy soils are ideal; maintain OC with crop residues and manures. Keep records of inputs and yields each season to refine your plan.","agriculture,black rot,farming,grapes,india,laterite,soil"
