Disease_ID,Crop,Disease_Name,Disease_Type,Causal_Organism,Symptoms,Treatment,Organic_Control,Chemical_Control,Prevention,Favorable_Conditions,Severity,Yield_Loss_Percentage,Recommended_Fertilizer,Keywords
DIS0678,Wheat,Stem Rust,Fungal,Various,Yellowing of leaves,Remove infected leaves,Garlic extract spray,Copper Oxychloride,Disease-free seeds,Cool weather,Medium,12,Balanced NPK,"Wheat,Stem Rust"
DIS0679,Wheat,Stem Rust,Fungal,Various,Leaf drying,Avoid overhead irrigation,Neem oil spray,Chlorothalonil,Crop rotation,Poor air circulation,Medium,22,Balanced NPK,"Wheat,Stem Rust"
DIS0680,Wheat,Stem Rust,Fungal,Various,Yellowing of leaves,Apply copper-based fungicide,Trichoderma application,Carbendazim,Balanced fertilization,Poor air circulation,Low,7,Balanced NPK,"Wheat,Stem Rust"
DIS0681,Wheat,Leaf Rust,Fungal,Various,Brown spots on leaves,Apply copper-based fungicide,Garlic extract spray,Mancozeb,Disease-free seeds,Heavy rainfall,High,11,Balanced NPK,"Wheat,Leaf Rust"
DIS0682,Wheat,Leaf Rust,Fungal,Various,Wilting,Use certified seeds,Neem oil spray,Carbendazim,Balanced fertilization,Heavy rainfall,Low,9,Balanced NPK,"Wheat,Leaf Rust"
DIS0683,Wheat,Leaf Rust,Fungal,Various,Brown spots on leaves,Use certified seeds,Garlic extract spray,Carbendazim,Field sanitation,Cool weather,High,6,Balanced NPK,"Wheat,Leaf Rust"
DIS0684,Wheat,Leaf Rust,Fungal,Various,Leaf drying,Improve drainage,Compost tea,Carbendazim,Balanced fertilization,Cool weather,High,48,Balanced NPK,"Wheat,Leaf Rust"
DIS0685,Wheat,Leaf Rust,Fungal,Various,Wilting,Improve drainage,Garlic extract spray,Chlorothalonil,Field sanitation,High humidity,Medium,51,Balanced NPK,"Wheat,Leaf Rust"
DIS0686,Wheat,Leaf Rust,Fungal,Various,Brown spots on leaves,Improve drainage,Garlic extract spray,Metalaxyl,Disease-free seeds,High humidity,High,7,Balanced NPK,"Wheat,Leaf Rust"
DIS0687,Wheat,Leaf Rust,Fungal,Various,Stem lesions,Apply recommended fungicide,Compost tea,Carbendazim,Disease-free seeds,High humidity,Low,5,Balanced NPK,"Wheat,Leaf Rust"
DIS0688,Wheat,Leaf Rust,Fungal,Various,Leaf curling,Apply recommended fungicide,Compost tea,Copper Oxychloride,Proper spacing,Poor air circulation,High,10,Balanced NPK,"Wheat,Leaf Rust"
DIS0689,Wheat,Leaf Rust,Fungal,Various,Wilting,Use certified seeds,Garlic extract spray,Copper Oxychloride,Crop rotation,Poor air circulation,Medium,24,Balanced NPK,"Wheat,Leaf Rust"
DIS0690,Wheat,Leaf Rust,Fungal,Various,Leaf drying,Avoid overhead irrigation,Garlic extract spray,Chlorothalonil,Balanced fertilization,Heavy rainfall,High,31,Balanced NPK,"Wheat,Leaf Rust"
DIS0691,Wheat,Leaf Rust,Fungal,Various,Leaf curling,Avoid overhead irrigation,Neem oil spray,Metalaxyl,Crop rotation,High humidity,Low,33,Balanced NPK,"Wheat,Leaf Rust"
DIS0692,Wheat,Leaf Rust,Fungal,Various,Stem lesions,Use certified seeds,Compost tea,Carbendazim,Balanced fertilization,Poor air circulation,High,20,Balanced NPK,"Wheat,Leaf Rust"
DIS0693,Wheat,Leaf Rust,Fungal,Various,Brown spots on leaves,Apply recommended fungicide,Trichoderma application,Chlorothalonil,Balanced fertilization,Cool weather,High,47,Balanced NPK,"Wheat,Leaf Rust"
DIS0694,Wheat,Leaf Rust,Fungal,Various,Leaf curling,Avoid overhead irrigation,Neem oil spray,Copper Oxychloride,Field sanitation,Cool weather,High,42,Balanced NPK,"Wheat,Leaf Rust"
DIS0695,Wheat,Leaf Rust,Fungal,Various,Fruit rot,Avoid overhead irrigation,Compost tea,Metalaxyl,Proper spacing,Heavy rainfall,Low,33,Balanced NPK,"Wheat,Leaf Rust"
DIS0696,Wheat,Leaf Rust,Fungal,Various,Wilting,Use certified seeds,Trichoderma application,Copper Oxychloride,Crop rotation,Poor air circulation,Low,37,Balanced NPK,"Wheat,Leaf Rust"
DIS0697,Wheat,Leaf Rust,Fungal,Various,Yellowing of leaves,Apply copper-based fungicide,Neem oil spray,Mancozeb,Crop rotation,Heavy rainfall,High,19,Balanced NPK,"Wheat,Leaf Rust"
DIS0698,Wheat,Leaf Rust,Fungal,Various,White fungal growth,Apply copper-based fungicide,Neem oil spray,Carbendazim,Balanced fertilization,Poor air circulation,Low,11,Balanced NPK,"Wheat,Leaf Rust"
DIS0699,Wheat,Leaf Rust,Fungal,Various,Brown spots on leaves,Remove infected leaves,Compost tea,Copper Oxychloride,Balanced fertilization,Cool weather,Medium,25,Balanced NPK,"Wheat,Leaf Rust"
DIS0700,Wheat,Leaf Rust,Fungal,Various,Stem lesions,Remove infected leaves,Compost tea,Chlorothalonil,Proper spacing,High humidity,High,37,Balanced NPK,"Wheat,Leaf Rust"
DIS0701,Wheat,Leaf Rust,Fungal,Various,Leaf curling,Apply copper-based fungicide,Compost tea,Metalaxyl,Proper spacing,Cool weather,High,49,Balanced NPK,"Wheat,Leaf Rust"
DIS0702,Wheat,Leaf Rust,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Garlic extract spray,Copper Oxychloride,Balanced fertilization,High humidity,Medium,15,Balanced NPK,"Wheat,Leaf Rust"
DIS0703,Wheat,Leaf Rust,Fungal,Various,Brown spots on leaves,Apply copper-based fungicide,Compost tea,Carbendazim,Balanced fertilization,Poor air circulation,Low,15,Balanced NPK,"Wheat,Leaf Rust"
DIS0704,Wheat,Leaf Rust,Fungal,Various,Stem lesions,Improve drainage,Compost tea,Carbendazim,Disease-free seeds,High humidity,High,31,Balanced NPK,"Wheat,Leaf Rust"
DIS0705,Wheat,Leaf Rust,Fungal,Various,White fungal growth,Apply recommended fungicide,Compost tea,Copper Oxychloride,Disease-free seeds,High humidity,Medium,46,Balanced NPK,"Wheat,Leaf Rust"
DIS0706,Wheat,Leaf Rust,Fungal,Various,Leaf curling,Apply recommended fungicide,Neem oil spray,Chlorothalonil,Disease-free seeds,High humidity,Medium,40,Balanced NPK,"Wheat,Leaf Rust"
DIS0707,Wheat,Leaf Rust,Fungal,Various,White fungal growth,Apply copper-based fungicide,Compost tea,Carbendazim,Balanced fertilization,Cool weather,Medium,21,Balanced NPK,"Wheat,Leaf Rust"
DIS0708,Wheat,Leaf Rust,Fungal,Various,Stem lesions,Improve drainage,Compost tea,Mancozeb,Field sanitation,High humidity,Medium,36,Balanced NPK,"Wheat,Leaf Rust"
DIS0709,Wheat,Leaf Rust,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Neem oil spray,Carbendazim,Proper spacing,Poor air circulation,Low,35,Balanced NPK,"Wheat,Leaf Rust"
DIS0710,Wheat,Leaf Rust,Fungal,Various,Stem lesions,Use certified seeds,Trichoderma application,Mancozeb,Proper spacing,Cool weather,Medium,9,Balanced NPK,"Wheat,Leaf Rust"
DIS0711,Wheat,Leaf Rust,Fungal,Various,Stem lesions,Apply recommended fungicide,Compost tea,Metalaxyl,Crop rotation,Heavy rainfall,High,27,Balanced NPK,"Wheat,Leaf Rust"
DIS0712,Wheat,Leaf Rust,Fungal,Various,Fruit rot,Apply copper-based fungicide,Trichoderma application,Chlorothalonil,Proper spacing,High humidity,Low,48,Balanced NPK,"Wheat,Leaf Rust"
DIS0713,Wheat,Leaf Rust,Fungal,Various,White fungal growth,Improve drainage,Neem oil spray,Copper Oxychloride,Field sanitation,Poor air circulation,High,11,Balanced NPK,"Wheat,Leaf Rust"
DIS0714,Wheat,Leaf Rust,Fungal,Various,Leaf curling,Apply recommended fungicide,Neem oil spray,Carbendazim,Disease-free seeds,High humidity,High,47,Balanced NPK,"Wheat,Leaf Rust"
DIS0715,Wheat,Leaf Rust,Fungal,Various,Brown spots on leaves,Avoid overhead irrigation,Trichoderma application,Mancozeb,Crop rotation,Poor air circulation,Low,54,Balanced NPK,"Wheat,Leaf Rust"
DIS0716,Wheat,Leaf Rust,Fungal,Various,Leaf curling,Remove infected leaves,Compost tea,Copper Oxychloride,Crop rotation,Poor air circulation,High,32,Balanced NPK,"Wheat,Leaf Rust"
DIS0717,Wheat,Leaf Rust,Fungal,Various,Leaf drying,Remove infected leaves,Trichoderma application,Carbendazim,Disease-free seeds,Cool weather,Low,7,Balanced NPK,"Wheat,Leaf Rust"
DIS0718,Wheat,Leaf Rust,Fungal,Various,Brown spots on leaves,Use certified seeds,Compost tea,Mancozeb,Crop rotation,High humidity,Medium,55,Balanced NPK,"Wheat,Leaf Rust"
DIS0719,Wheat,Leaf Rust,Fungal,Various,Wilting,Apply recommended fungicide,Neem oil spray,Copper Oxychloride,Crop rotation,Cool weather,Medium,55,Balanced NPK,"Wheat,Leaf Rust"
DIS0720,Wheat,Leaf Rust,Fungal,Various,White fungal growth,Remove infected leaves,Garlic extract spray,Mancozeb,Proper spacing,Poor air circulation,High,7,Balanced NPK,"Wheat,Leaf Rust"
DIS0721,Wheat,Loose Smut,Fungal,Various,Yellowing of leaves,Apply copper-based fungicide,Garlic extract spray,Metalaxyl,Field sanitation,Poor air circulation,High,17,Balanced NPK,"Wheat,Loose Smut"
DIS0722,Wheat,Loose Smut,Fungal,Various,Stem lesions,Use certified seeds,Garlic extract spray,Carbendazim,Proper spacing,High humidity,High,47,Balanced NPK,"Wheat,Loose Smut"
DIS0723,Wheat,Loose Smut,Fungal,Various,Brown spots on leaves,Apply copper-based fungicide,Garlic extract spray,Chlorothalonil,Disease-free seeds,Heavy rainfall,Medium,54,Balanced NPK,"Wheat,Loose Smut"
DIS0724,Wheat,Loose Smut,Fungal,Various,Fruit rot,Remove infected leaves,Garlic extract spray,Metalaxyl,Field sanitation,Poor air circulation,Low,56,Balanced NPK,"Wheat,Loose Smut"
DIS0725,Wheat,Loose Smut,Fungal,Various,Yellowing of leaves,Use certified seeds,Trichoderma application,Carbendazim,Field sanitation,Cool weather,High,26,Balanced NPK,"Wheat,Loose Smut"
DIS0726,Wheat,Loose Smut,Fungal,Various,Leaf drying,Avoid overhead irrigation,Compost tea,Copper Oxychloride,Field sanitation,Poor air circulation,Medium,17,Balanced NPK,"Wheat,Loose Smut"
DIS0727,Wheat,Loose Smut,Fungal,Various,Fruit rot,Remove infected leaves,Neem oil spray,Carbendazim,Balanced fertilization,Poor air circulation,Low,50,Balanced NPK,"Wheat,Loose Smut"
DIS0728,Wheat,Loose Smut,Fungal,Various,Brown spots on leaves,Avoid overhead irrigation,Neem oil spray,Carbendazim,Crop rotation,High humidity,Medium,6,Balanced NPK,"Wheat,Loose Smut"
DIS0729,Wheat,Loose Smut,Fungal,Various,Stem lesions,Remove infected leaves,Garlic extract spray,Copper Oxychloride,Balanced fertilization,High humidity,High,44,Balanced NPK,"Wheat,Loose Smut"
DIS0730,Wheat,Loose Smut,Fungal,Various,Brown spots on leaves,Improve drainage,Compost tea,Carbendazim,Disease-free seeds,Cool weather,Medium,16,Balanced NPK,"Wheat,Loose Smut"
DIS0731,Wheat,Loose Smut,Fungal,Various,Leaf drying,Improve drainage,Trichoderma application,Metalaxyl,Field sanitation,Cool weather,High,39,Balanced NPK,"Wheat,Loose Smut"
DIS0732,Wheat,Loose Smut,Fungal,Various,White fungal growth,Avoid overhead irrigation,Garlic extract spray,Copper Oxychloride,Field sanitation,Poor air circulation,Medium,32,Balanced NPK,"Wheat,Loose Smut"
DIS0733,Wheat,Loose Smut,Fungal,Various,Yellowing of leaves,Remove infected leaves,Trichoderma application,Metalaxyl,Proper spacing,High humidity,Low,39,Balanced NPK,"Wheat,Loose Smut"
DIS0734,Wheat,Loose Smut,Fungal,Various,Stem lesions,Improve drainage,Garlic extract spray,Copper Oxychloride,Balanced fertilization,Cool weather,High,23,Balanced NPK,"Wheat,Loose Smut"
DIS0735,Wheat,Loose Smut,Fungal,Various,Stem lesions,Apply copper-based fungicide,Neem oil spray,Mancozeb,Proper spacing,Heavy rainfall,High,21,Balanced NPK,"Wheat,Loose Smut"
DIS0736,Wheat,Loose Smut,Fungal,Various,Leaf curling,Remove infected leaves,Garlic extract spray,Copper Oxychloride,Balanced fertilization,Heavy rainfall,Medium,35,Balanced NPK,"Wheat,Loose Smut"
DIS0737,Wheat,Loose Smut,Fungal,Various,Wilting,Apply copper-based fungicide,Garlic extract spray,Chlorothalonil,Proper spacing,Heavy rainfall,Medium,20,Balanced NPK,"Wheat,Loose Smut"
DIS0738,Wheat,Loose Smut,Fungal,Various,Yellowing of leaves,Apply copper-based fungicide,Garlic extract spray,Metalaxyl,Field sanitation,Cool weather,Low,53,Balanced NPK,"Wheat,Loose Smut"
DIS0739,Wheat,Loose Smut,Fungal,Various,Leaf curling,Use certified seeds,Trichoderma application,Carbendazim,Balanced fertilization,Heavy rainfall,High,5,Balanced NPK,"Wheat,Loose Smut"
DIS0740,Wheat,Loose Smut,Fungal,Various,Brown spots on leaves,Improve drainage,Neem oil spray,Chlorothalonil,Crop rotation,Heavy rainfall,Medium,48,Balanced NPK,"Wheat,Loose Smut"
DIS0741,Wheat,Loose Smut,Fungal,Various,Stem lesions,Remove infected leaves,Neem oil spray,Metalaxyl,Disease-free seeds,Cool weather,Low,31,Balanced NPK,"Wheat,Loose Smut"
DIS0742,Wheat,Loose Smut,Fungal,Various,Wilting,Apply recommended fungicide,Trichoderma application,Chlorothalonil,Proper spacing,High humidity,Low,60,Balanced NPK,"Wheat,Loose Smut"
DIS0743,Wheat,Loose Smut,Fungal,Various,Leaf curling,Improve drainage,Neem oil spray,Metalaxyl,Proper spacing,High humidity,Medium,39,Balanced NPK,"Wheat,Loose Smut"
DIS0744,Wheat,Loose Smut,Fungal,Various,Wilting,Avoid overhead irrigation,Garlic extract spray,Copper Oxychloride,Crop rotation,High humidity,Low,46,Balanced NPK,"Wheat,Loose Smut"
DIS0745,Wheat,Loose Smut,Fungal,Various,White fungal growth,Apply recommended fungicide,Garlic extract spray,Chlorothalonil,Crop rotation,Poor air circulation,Medium,21,Balanced NPK,"Wheat,Loose Smut"
DIS0746,Wheat,Loose Smut,Fungal,Various,White fungal growth,Apply copper-based fungicide,Garlic extract spray,Copper Oxychloride,Proper spacing,Poor air circulation,Medium,10,Balanced NPK,"Wheat,Loose Smut"
DIS0747,Wheat,Loose Smut,Fungal,Various,Leaf curling,Avoid overhead irrigation,Garlic extract spray,Chlorothalonil,Disease-free seeds,High humidity,High,56,Balanced NPK,"Wheat,Loose Smut"
DIS0748,Wheat,Loose Smut,Fungal,Various,Brown spots on leaves,Use certified seeds,Garlic extract spray,Chlorothalonil,Proper spacing,High humidity,Low,22,Balanced NPK,"Wheat,Loose Smut"
DIS0749,Wheat,Loose Smut,Fungal,Various,Wilting,Remove infected leaves,Garlic extract spray,Copper Oxychloride,Proper spacing,Heavy rainfall,Medium,32,Balanced NPK,"Wheat,Loose Smut"
DIS0750,Wheat,Loose Smut,Fungal,Various,Wilting,Apply copper-based fungicide,Trichoderma application,Carbendazim,Proper spacing,High humidity,High,13,Balanced NPK,"Wheat,Loose Smut"
DIS0751,Wheat,Loose Smut,Fungal,Various,Stem lesions,Remove infected leaves,Neem oil spray,Mancozeb,Proper spacing,Poor air circulation,High,11,Balanced NPK,"Wheat,Loose Smut"
DIS0752,Wheat,Loose Smut,Fungal,Various,Wilting,Remove infected leaves,Garlic extract spray,Carbendazim,Balanced fertilization,High humidity,High,53,Balanced NPK,"Wheat,Loose Smut"
DIS0753,Wheat,Loose Smut,Fungal,Various,Leaf curling,Improve drainage,Garlic extract spray,Metalaxyl,Crop rotation,Heavy rainfall,Medium,6,Balanced NPK,"Wheat,Loose Smut"
DIS0754,Wheat,Loose Smut,Fungal,Various,Yellowing of leaves,Use certified seeds,Garlic extract spray,Chlorothalonil,Proper spacing,High humidity,Medium,11,Balanced NPK,"Wheat,Loose Smut"
DIS0755,Wheat,Loose Smut,Fungal,Various,Leaf curling,Avoid overhead irrigation,Neem oil spray,Copper Oxychloride,Proper spacing,Cool weather,Medium,22,Balanced NPK,"Wheat,Loose Smut"
DIS0756,Wheat,Loose Smut,Fungal,Various,Stem lesions,Avoid overhead irrigation,Compost tea,Mancozeb,Disease-free seeds,Cool weather,Low,25,Balanced NPK,"Wheat,Loose Smut"
DIS0757,Wheat,Loose Smut,Fungal,Various,Brown spots on leaves,Avoid overhead irrigation,Trichoderma application,Carbendazim,Crop rotation,Poor air circulation,Medium,48,Balanced NPK,"Wheat,Loose Smut"
DIS0758,Wheat,Loose Smut,Fungal,Various,White fungal growth,Use certified seeds,Neem oil spray,Mancozeb,Field sanitation,High humidity,High,22,Balanced NPK,"Wheat,Loose Smut"
DIS0759,Wheat,Loose Smut,Fungal,Various,Leaf curling,Apply recommended fungicide,Compost tea,Copper Oxychloride,Balanced fertilization,High humidity,Low,48,Balanced NPK,"Wheat,Loose Smut"
DIS0760,Wheat,Loose Smut,Fungal,Various,Yellowing of leaves,Apply copper-based fungicide,Trichoderma application,Copper Oxychloride,Balanced fertilization,Poor air circulation,Medium,37,Balanced NPK,"Wheat,Loose Smut"
